id,zcta,fips,census_year,geo_id,population,median_age,race_total,race_white,race_black,race_native,race_asian,race_pacific,race_other,race_two_or_more,hispanic_total,hispanic_yes,nativity_total,non_citizen_total,foreign_born_universe,foreign_born_total,citizen_total,year_of_entry_total,entered_before_2010,entered_2010_or_later,household_total,household_family,household_nonfamily,household_size_total,household_size_1,household_size_2,household_size_3,household_size_4,household_size_5,household_size_6,household_size_7_plus,households_with_children_total,married_couple_with_children,single_female_with_children,single_male_with_children,multigenerational_households,total_education_population,high_school_graduate,ged,some_college,associates,bachelors_some,bachelors_complete,masters,professional,doctorate,education_by_age_total,school_enrollment_total,school_enrollment_nursery_preschool,school_enrollment_kindergarten,school_enrollment_grade_1_to_4,school_enrollment_grade_5_to_8,school_enrollment_grade_9_to_12,college_undergraduate_enrollment,college_graduate_enrollment,median_household_income,per_capita_income,income_total,income_under_10k,income_200k_plus,gini_index,employment_total,in_labor_force,civilian_labor_force,employed,unemployed,not_in_labor_force,employment_by_age_total,housing_units_total,occupancy_total,occupied,vacant,tenure_total,owner_occupied,renter_occupied,median_home_value,median_gross_rent,median_rent_as_pct_income,median_year_built,units_structure_total,units_detached,units_attached,units_2,units_3_4,units_5_9,units_10_19,units_20_49,units_50_plus,mobile_homes,year_moved_in_total,moved_in_2017_or_later,moved_2015_to_2016,moved_2010_to_2014,moved_2000_to_2009,moved_before_2000,vehicles_available_total,no_vehicle,one_vehicle,two_vehicles,three_vehicles,four_plus_vehicles,poverty_total,income_below_poverty,income_above_poverty,commute_total,commute_drove_alone,commute_carpool,commute_public_transit,commute_walked,commute_time_total,commute_time_less_5,commute_time_10_14,worked_from_home,language_total_population_5_plus,speaks_english_less_than_very_well,speaks_english_very_well,limited_english_spanish,limited_english_asian,limited_english_other,veteran_total,service_period_total,disability_total,disability_under_5,disability_5_17,disability_18_34,disability_35_64,disability_65_74,disability_75_plus,occupation_total,occupation_male_total,occupation_male_management,occupation_male_business_science_arts,occupation_male_service,occupation_male_sales_office,occupation_male_natural_resources_construction,occupation_male_production_transportation,occupation_female_total,occupation_female_management,occupation_female_business_science_arts,occupation_female_service,occupation_female_sales_office,occupation_female_natural_resources_construction,occupation_female_production_transportation,industry_total,industry_agriculture_forestry_fishing,industry_mining,industry_construction,industry_manufacturing,industry_wholesale_trade,industry_retail_trade,industry_transportation_utilities,industry_information,industry_finance_insurance_real_estate,industry_professional_scientific_management,industry_educational_services,industry_healthcare_social_assistance,industry_arts_entertainment_recreation,industry_accommodation_food_services,industry_other_services,industry_public_administration,worker_class_total,worker_class_private,worker_class_government,worker_class_self_employed,worker_class_unpaid_family,industry_median_earnings_total,industry_median_earnings_agriculture,industry_median_earnings_construction,industry_median_earnings_manufacturing,industry_median_earnings_wholesale_trade,industry_median_earnings_retail_trade,industry_median_earnings_transportation,industry_median_earnings_information,industry_median_earnings_finance,industry_median_earnings_professional,industry_median_earnings_educational,industry_median_earnings_healthcare,industry_median_earnings_arts_entertainment,industry_median_earnings_accommodation_food,industry_median_earnings_other_services,industry_median_earnings_public_admin,occupation_median_earnings_total,occupation_median_earnings_management,occupation_median_earnings_business_science_arts,occupation_median_earnings_service,occupation_median_earnings_sales_office,occupation_median_earnings_natural_resources_construction,occupation_median_earnings_production_transportation,age_0_17,age_18_34,age_35_54,age_55_74,age_75_plus,has_census_data,created_at,updated_at
1,19701,19701,2023,860Z200US19701,44801,41.1,44801,23672,11552,33,4608,0,1784,3152,44801,4762,44801,3141,7740,427,4599,8784,2451,416,16798,11794,5004,16798,11794,4450,3605,2435,924,185,195,16798,5421,1182,8,,32582,9174,544,2225,3879,2875,6807,3549,265,663,11284,42893,9787,313,440,2070,1720,2374,2107,107856,46236,16798,651,2800,0.3766,36839,25681,25520,23982,1538,11158,36839,17368,17368,16798,570,16798,13430,3368,337800,1732,29.4,1995,17368,8748,4490,39,75,624,1023,244,172,1891,44743,37375,2054,6911,10932,9248,16798,639,5204,6553,2993,1409,44523,3311,1197,23925,17297,483,0,4552,19373,1677,1453,1447,42242,0,0,485,549,0,35447,2402,44633,0,225,448,1098,4168,2242,23982,12674,5250,2235,1336,899,1732,1071,93,936,193,276,354,113,347,23982,12674,20,20,0,1760,1256,382,1149,1408,1242,166,110,944,909,35,1974,18190,10099,20,20,0,23982,71,1845,1733,522,2503,1983,286,2264,3322,6050,1424,983,996,10943,71,58130,85491,89984,109288,80204,97726,101101,9193,9425,13417,10596,2170,1,2025-12-01T16:48:58.372Z,2025-12-01T16:48:58.372Z
2,19702,19702,2023,860Z200US19702,56049,36.8,56049,23372,17620,40,6751,48,3598,4620,56049,7706,56049,6399,12393,706,5994,14089,6205,410,21551,14126,7425,21551,14126,5464,4090,2479,1249,553,291,21551,6778,1953,0,,38362,8165,1127,2646,5591,2937,8821,5316,712,404,15253,53932,13036,1125,1165,2227,2490,2296,2754,92304,42548,21551,585,2283,0.3823,44445,32562,32299,30944,1355,11883,44445,22149,22149,21551,598,21551,12970,8581,331200,1549,25.3,1992,22149,9841,5394,50,340,2214,2145,976,343,815,56001,34710,1023,4354,9032,11315,21551,985,7495,8703,3140,1228,55946,4445,1787,30674,22287,466,63,4199,26475,4416,1600,811,51855,126,78,914,201,38,43253,2555,55786,0,300,474,2146,7631,2923,30944,15892,6778,3282,2007,1275,2191,1437,211,1096,285,167,517,127,209,30944,15892,89,89,0,1578,1594,338,1546,2008,1837,171,202,1989,1830,159,2285,23143,12443,89,89,0,30944,101,1971,2245,466,2805,2428,320,4715,3587,7970,2212,1084,1040,14493,24,50625,78553,80825,83862,78998,100690,105242,12533,14159,14316,13097,1944,1,2025-12-01T16:49:38.957Z,2025-12-01T16:49:38.957Z
3,19703,19703,2023,860Z200US19703,15936,38,15936,8739,4335,24,1352,0,455,1031,15936,1367,15936,944,1859,219,915,2054,988,68,6818,3738,3080,6818,3738,1586,1071,566,372,115,28,6818,1719,403,0,,11506,3156,316,782,1671,835,2520,1327,123,79,4049,15366,3500,239,409,593,742,559,700,76328,42419,6818,182,428,0.4186,12951,9216,9210,8838,372,3735,12951,7114,7114,6818,296,6818,3642,3176,266500,1305,27.8,1965,7114,2987,1160,110,256,546,1198,119,723,15,15922,9418,183,810,3138,2062,6818,467,2937,2407,832,175,15893,1376,402,8668,6619,216,54,1106,7562,658,607,193,15071,58,0,204,56,9,12718,780,15929,0,199,187,448,2053,952,8838,4557,1748,664,479,185,670,416,87,261,134,0,49,78,153,8838,4557,0,0,0,403,559,73,691,278,254,24,67,461,364,97,604,6900,3833,0,0,0,8838,0,478,783,131,1154,360,95,876,1145,2332,767,364,353,3780,0,50682,72076,74028,77500,73456,104813,86190,3212,3986,4205,3599,934,1,2025-12-01T16:50:19.589Z,2025-12-01T16:50:19.589Z
4,19706,19706,2023,860Z200US19706,2059,40.3,2059,1566,160,2,0,0,32,299,2059,190,2059,8,24,16,16,33,0,0,734,490,244,734,490,235,117,82,18,28,10,734,201,76,0,,1375,530,65,83,218,91,247,39,0,8,294,2031,493,8,36,151,137,114,35,77143,35060,734,30,34,0.3687,1617,1013,1013,943,70,604,1617,774,774,734,40,734,556,178,244600,1420,31.3,1961,774,527,110,33,7,9,0,6,0,82,2021,1436,41,359,301,140,734,33,269,271,80,81,2021,193,15,922,744,5,0,129,793,0,18,116,2013,0,0,0,0,0,1583,130,2021,0,38,74,31,152,154,943,587,192,138,28,110,42,0,17,11,0,0,6,5,1,943,587,6,6,0,119,86,14,146,43,37,6,0,30,15,15,93,754,485,6,6,0,943,6,125,107,14,174,70,0,76,141,106,56,34,34,318,0,53580,84375,92840,77171,93207,85313,,476,400,506,595,82,1,2025-12-01T16:51:00.115Z,2025-12-01T16:51:00.115Z
5,19707,19707,2023,860Z200US19707,17366,44.6,17366,13876,331,0,1782,0,79,1298,17366,652,17366,405,1738,125,1333,1911,352,57,6298,5062,1236,6298,5062,2169,1136,1108,367,271,11,6298,2240,323,0,,12018,1508,55,556,954,937,4163,2304,462,879,7808,17109,5153,577,243,991,1246,1152,623,172161,73132,6298,115,2635,0.3983,13516,8525,8484,8285,199,4991,13516,6610,6610,6298,312,6298,5434,864,534300,2230,25,1984,6610,5338,697,0,0,0,0,168,377,30,17008,15382,328,1474,7024,2506,6298,332,1030,3241,1296,399,17019,340,374,7942,5435,19,0,1933,6009,425,260,95,16502,0,0,220,226,0,12927,691,16978,0,160,130,490,964,962,8285,4126,3155,1679,1184,495,974,372,268,435,80,37,169,149,67,8285,4126,12,12,0,536,569,130,313,75,57,18,0,805,725,80,739,5889,3220,0,0,0,8285,12,683,867,196,728,107,14,1401,1550,1987,302,229,209,5971,12,94466,114737,151529,162083,122197,107112,112626,4398,1946,4931,4332,1759,1,2025-12-01T16:51:40.571Z,2025-12-01T16:51:40.571Z
6,19709,19709,2023,860Z200US19709,50542,40.2,50542,30484,12158,10,3624,0,1086,3180,50542,3172,50542,1782,5557,194,3775,6059,1864,44,17649,14092,3557,17649,14092,5381,3846,3382,965,303,215,17649,7308,1989,0,,33829,5947,702,1550,4519,3043,9358,5581,721,967,16627,48852,14450,832,554,2841,3643,4365,1343,129971,55938,17649,529,4103,0.4051,38536,25587,25478,24121,1357,12949,38536,17819,17819,17649,170,17649,15232,2417,444900,1571,24.5,2005,17819,12256,3827,76,205,454,460,210,135,196,50392,44068,3061,9780,15164,11648,17649,332,3977,8361,3349,1630,50023,2410,1329,23901,17733,135,0,4349,19552,1222,2052,1360,47745,72,0,507,221,0,36463,2467,50331,0,339,439,1368,4047,3430,24121,11963,5782,3227,2518,709,1422,802,105,697,56,123,280,238,436,24121,11963,145,145,0,1048,968,434,1393,760,504,256,240,1766,1457,309,1708,18489,9640,86,86,0,24121,194,1163,1685,902,2082,1055,328,3614,2826,6569,1572,669,1462,13207,21,71149,90669,106470,122034,94321,100203,82102,13970,7977,13378,11966,3251,1,2025-12-01T16:52:21.020Z,2025-12-01T16:52:21.020Z
8,19711,19711,2023,860Z200US19711,49113,35.8,49113,35497,4532,128,3695,8,727,4526,49113,4464,49113,3036,5747,835,2711,6550,3082,239,18982,11022,7960,18982,11022,5542,2522,1728,817,245,168,18982,3865,583,0,,31874,5114,581,1892,3424,2599,9343,4673,593,2182,16791,47801,15125,702,306,1886,1639,1935,7145,94455,50081,18982,1107,3127,0.4551,41984,26430,26332,24970,1362,15554,41984,20617,20617,18982,1635,18982,12425,6557,376300,1516,33.9,1977,20617,12400,2347,277,534,940,2678,701,685,21,47448,31229,1404,3556,8063,5885,18982,1179,6020,7449,2985,1349,47623,7078,1058,24811,16664,302,14,4118,20693,4007,876,666,46875,52,9,361,308,0,41072,2066,48881,0,585,373,1017,7725,2389,24970,13415,6499,2322,1728,594,1911,1086,277,1937,419,74,1240,204,329,24970,13415,78,78,0,1002,1279,219,1592,1186,958,228,162,1471,1258,213,1564,16913,9957,66,66,0,24970,274,1155,1759,340,2945,1361,196,3221,2678,7559,1805,764,913,12991,32,53532,77071,81730,91581,60325,95429,102691,7943,16202,10533,10859,3576,1,2025-12-01T16:53:41.816Z,2025-12-01T16:53:41.816Z
14,19731,19731,2023,860Z200US19731,630,67.2,630,630,0,0,0,0,0,0,630,0,630,0,0,0,0,0,0,0,247,177,70,247,177,116,0,0,61,0,0,247,61,0,0,,489,286,0,0,151,10,0,0,0,0,0,630,15,0,0,0,0,0,15,68832,30823,247,0,0,0.2356,504,182,182,182,0,322,504,247,247,247,0,247,226,21,347500,,-666666666,1938,247,192,55,0,0,0,0,0,0,0,630,588,0,327,15,24,247,0,70,82,81,14,630,15,59,182,182,0,0,0,182,0,0,0,571,0,0,0,0,0,504,20,630,0,0,0,0,0,82,182,151,0,0,0,0,0,0,0,0,0,0,0,0,0,182,151,0,0,0,14,0,0,21,0,0,0,0,0,0,0,55,127,96,0,0,0,182,0,14,0,0,42,0,0,0,55,10,61,0,0,10,0,34727,,,,,,,126,15,87,229,173,1,2025-12-01T16:57:44.505Z,2025-12-01T16:57:44.505Z
9,19713,19713,2023,860Z200US19713,30549,38.2,30549,16580,6704,96,1777,0,1636,3756,30549,5816,30549,2759,5226,389,2467,5767,1749,119,12143,6953,5190,12143,6953,2614,1806,1382,656,253,242,12143,3419,1006,0,,21764,6612,619,1070,3219,1509,4178,1609,184,483,6454,29369,6590,178,267,1454,1648,1307,1291,72850,39666,12143,670,1084,0.4265,25115,16718,16663,16028,635,8397,25115,12803,12803,12143,660,12143,7589,4554,267500,1293,28,1972,12803,7359,1156,56,403,564,2076,564,319,306,30205,19856,656,3014,4830,4206,12143,860,4995,3960,1612,716,30240,3949,712,15779,11533,339,22,2196,13583,1924,926,336,28882,158,59,281,261,5,24348,1723,30224,0,444,336,800,3915,1548,16028,8026,2634,894,584,310,992,574,142,641,4,52,504,81,107,16028,8026,35,35,0,890,533,251,1320,640,569,71,117,486,428,58,1565,11448,6242,29,29,0,16028,35,989,942,299,2395,1131,136,1976,2197,3376,1360,528,664,6162,0,46679,73418,87588,72516,101310,95573,120649,6146,7821,7043,7160,2379,1,2025-12-01T16:54:22.260Z,2025-12-01T16:54:22.260Z
11,19717,19717,2023,860Z200US19717,6522,19.4,6522,5121,626,16,362,0,113,284,6522,454,6522,229,343,64,114,420,265,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,6522,6522,0,0,0,0,0,6499,,4663,0,0,0,-666666666,6522,2321,2321,2132,189,4201,6522,0,0,0,0,0,0,0,,,-666666666,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,926,74,0,198,1797,446,18,37,6522,38,0,150,78,0,6416,0,6522,0,292,0,0,4094,0,2132,614,215,49,49,0,40,14,26,118,0,0,50,68,8,2132,614,0,0,0,0,0,24,64,59,59,0,0,32,32,0,48,161,23,0,0,0,2132,0,0,12,28,274,106,16,38,119,602,728,116,93,468,0,4881,5400,10660,11389,,6523,6860,106,6416,0,0,0,1,2025-12-01T16:55:43.168Z,2025-12-01T16:55:43.168Z
